ckpt_path,config_path,cuda_visible_devices,episodes,eval_file,log_path,nproc_per_node,requested_variant,seed,source_config_path,success_rate_pct,successes,triton_max_prompt_len
work_dirs/pi05_libero10_task0_with_l/checkpoints/latest-checkpoint.safetensors,work_dirs/pi05_task0_with_l_pixshuffle_compare/mlp_vs_base/configs/pi05_task0_with_l_last_accelerated.py,"2,3,4,5,6,7",50.0,/data/guohao/FluxVLA_workdirs/pi05_libero10_task0_with_l/EVAL-libero_10-pi0-2026_06_08-14_56_17.txt,work_dirs/pi05_task0_with_l_pixshuffle_compare/mlp_vs_base/logs/mlp_vs_base_with_l_last_success_seed7.log,6,with_l_last,7,configs/pi05/pi05_paligemma_libero_10_full_inference.py,94.0,47.0,
work_dirs/pi05_libero10_task0_with_l_pixshuffle_mlp/checkpoints/latest-checkpoint.safetensors,work_dirs/pi05_task0_with_l_pixshuffle_compare/mlp_vs_base/configs/pi05_task0_pix_mlp_latest_accelerated.py,"2,3,4,5,6,7",50.0,/data/guohao/FluxVLA_workdirs/pi05_libero10_task0_with_l_pixshuffle_mlp/EVAL-libero_10-pi0-2026_06_08-15_00_58.txt,work_dirs/pi05_task0_with_l_pixshuffle_compare/mlp_vs_base/logs/mlp_vs_base_pix_mlp_latest_success_seed7.log,6,pix_mlp_latest,7,configs/pi05/pi05_libero10_task0_with_l_pixshuffle_mlp_inference.py,64.0,32.0,
