ckpt_path,config_path,cuda_visible_devices,episodes,eval_file,log_path,nproc_per_node,requested_variant,seed,success_rate_pct,successes
work_dirs/pi05_libero10_task0_with_l/checkpoints/step-008460-epoch-60-loss=0.0910.safetensors,configs/pi05/pi05_paligemma_libero_10_full_inference.py,"3,4,5,6,7",50.0,/home/guohao/FluxVLA/work_dirs/pi05_libero10_task0_with_l/EVAL-libero_10-pi0-2026_06_06-10_07_29.txt,work_dirs/pi05_task0_with_l_pixshuffle_compare/task0_with_l_vs_pixshuffle_final/logs/task0_with_l_vs_pixshuffle_final_with_l_success_seed7.log,5,with_l,7,92.0,46.0
work_dirs/pi05_libero10_task0_with_l_pixshuffle/checkpoints/step-008460-epoch-60-loss=0.0918.safetensors,configs/pi05/pi05_libero10_task0_with_l_pixshuffle_inference.py,"3,4,5,6,7",50.0,/home/guohao/FluxVLA/work_dirs/pi05_libero10_task0_with_l_pixshuffle/EVAL-libero_10-pi0-2026_06_06-10_11_30.txt,work_dirs/pi05_task0_with_l_pixshuffle_compare/task0_with_l_vs_pixshuffle_final/logs/task0_with_l_vs_pixshuffle_final_pixshuffle_success_seed7.log,5,pixshuffle,7,76.0,38.0
