ckpt_path,config_path,cuda_visible_devices,episodes,eval_file,log_path,nproc_per_node,requested_variant,seed,success_rate_pct,successes,use_language
work_dirs/pi05_libero10_task0_with_l/checkpoints/latest-checkpoint.safetensors,work_dirs/pi05_task0_accel_compare/task0_accel_final/configs/pi05_task0_with_l_accelerated.py,"3,4,5,6,7",50.0,/home/guohao/FluxVLA/work_dirs/pi05_libero10_task0_with_l/EVAL-libero_10-pi0-2026_06_05-17_14_59.txt,work_dirs/pi05_task0_accel_compare/task0_accel_final/logs/task0_accel_final_with_l_success_seed7.log,5,with_l,7,92.0,46.0,True
work_dirs/pi05_libero10_task0_no_l/checkpoints/latest-checkpoint.safetensors,work_dirs/pi05_task0_accel_compare/task0_accel_final/configs/pi05_task0_no_l_accelerated.py,"3,4,5,6,7",50.0,/home/guohao/FluxVLA/work_dirs/pi05_libero10_task0_no_l/EVAL-libero_10-pi0-2026_06_05-17_20_31.txt,work_dirs/pi05_task0_accel_compare/task0_accel_final/logs/task0_accel_final_no_l_success_seed7.log,5,no_l,7,68.0,34.0,False
